PARGROUP,PRNAM,CAS,DTYPE,PARAM,MUNIT,MATRX,BASIS,METPT,METOA,Note,AphiaID,Species,P01_Code,P01,P01_label,S06_label,S07_label,S27_label,S02_label,S26_label,S25_label,TAXON,S09_label,S10_label,S11_label,S12_label,S13_label,S14_label,S15_label,S06,S07,S27,S02,S26,S25,S09,S10,S11,S12,S13,S14,S15
-9,cadmium,7440-43-9,CS,CD,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,copper,7440-50-8,CS,CU,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,mercury,7439-97-6,CS,HG,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,lead,7439-92-1,CS,PB,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,zinc,7440-66-6,CS,ZN,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,aluminium,7429-90-5,CS,AL,%,SED20,D,-9,-9,-9,-9,-9,-9,,,Proportion,not specified,manual mapping required,per unit dry weight of,sediment <20um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600018,S0700006,,S041,MAT01977,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,aluminium,7429-90-5,CS,AL,g/kg,SED20,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <20um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01977,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,aluminium,7429-90-5,CS,AL,mg/kg,SED20,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <20um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01977,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,aluminium,7429-90-5,CS,AL,ug/kg,SED20,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <20um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01977,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
-9,cadmium,7440-43-9,CS,CD,ug/kg,SED20,D,-9,-9,-9,-9,-9,-9,,,Concentration,not specified,manual mapping required,per unit dry weight of,sediment <20um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,,S041,MAT01977,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
